osm_id,name,operator,telecom,building,addr:housenumber,addr:street,addr:city,addr:state,addr:postcode,source_layer,lat,lon,geometry
9892863,QTS Richmond Data Center,,,yes,,,,,,polygons,37.4888273,-77.24748997136237,"MULTIPOLYGON (((-77.2471184 37.4883098, -77.2470355 37.4884019, -77.247162 37.4884724, -77.2472571 37.4885249, -77.2473676 37.4884028, -77.2475052 37.4884818, -77.2474788 37.4885092, -77.2475187 37.4885312, -77.247523 37.4885267, -77.2484094 37.4890454, -77.2476416 37.4899127, -77.2474559 37.4898213, -77.247431 37.4898467, -77.2474191 37.4898405, -77.2469022 37.4895432, -77.2467305 37.4894563, -77.2467626 37.4894122, -77.2464588 37.4892437, -77.2463372 37.4891762, -77.2463047 37.4892094, -77.2461868 37.4891422, -77.2461062 37.4892199, -77.2464969 37.4894507, -77.2463989 37.4895477, -77.2463235 37.4896051, -77.2462156 37.4896692, -77.2459429 37.4893426, -77.24586 37.4894272, -77.24609 37.489695, -77.2461088 37.4896838, -77.2465659 37.4902206, -77.2465472 37.4902284, -77.2467274 37.4904451, -77.246345 37.4906563, -77.246145 37.4904257, -77.2461248 37.4904369, -77.2456046 37.48983, -77.2456277 37.4898154, -77.2455278 37.489703, -77.2455781 37.489679, -77.2455559 37.4896537, -77.2454237 37.4897015, -77.24539 37.4897046, -77.2453667 37.4896964, -77.245343 37.4896648, -77.2453392 37.4896517, -77.2453703 37.4896187, -77.2451164 37.4894749, -77.2451046 37.4894882, -77.2442039 37.4889644, -77.2442702 37.4889007, -77.243975 37.4887539, -77.2443014 37.4883931, -77.2446802 37.4886061, -77.244601 37.488692, -77.2454201 37.4891661, -77.2453829 37.4892101, -77.2454563 37.4892559, -77.2457056 37.4893913, -77.2460236 37.4890489, -77.2453999 37.4886869, -77.2454152 37.4886688, -77.2451158 37.4884919, -77.2450938 37.4885188, -77.244975 37.4884472, -77.2449444 37.4884811, -77.2441351 37.4880163, -77.244162 37.4879865, -77.2440383 37.4879155, -77.2440974 37.4878503, -77.2440692 37.4878351, -77.2443564 37.4875103, -77.2443876 37.4875279, -77.2444363 37.4874731, -77.2444068 37.4874564, -77.2447093 37.4871165, -77.2447376 37.4871294, -77.2447895 37.4870688, -77.2450523 37.4872143, -77.2453136 37.4873663, -77.2453861 37.4872865, -77.2454647 37.4873318, -77.245392 37.4874119, -77.245857 37.4876824, -77.2458329 37.487709, -77.2466539 37.4881821, -77.246732 37.4880963, -77.2467725 37.4881196, -77.2468016 37.4880876, -77.2469131 37.4881518, -77.2468892 37.4881781, -77.2471184 37.4883098), (-77.2463676 37.4891345, -77.2464919 37.4892073, -77.2466249 37.4892853, -77.2466973 37.4892046, -77.2466693 37.4891887, -77.2466959 37.489159, -77.2466628 37.4891402, -77.247171 37.4885732, -77.2472301 37.4886069, -77.2472523 37.4885821, -77.2471288 37.4885082, -77.2470019 37.4884322, -77.2463676 37.4891345), (-77.2457892 37.4877947, -77.2452197 37.4884126, -77.2452056 37.4884039, -77.2451582 37.4884527, -77.2454582 37.4886248, -77.2460949 37.4879153, -77.2458863 37.4877988, -77.2458545 37.4878319, -77.2457892 37.4877947)))"
,Equinix SV1,,,data_center,,,,,,polygons,37.241577649999996,-121.78334986138165,"MULTIPOLYGON (((-121.7834603 37.2422761, -121.7826381 37.2418062, -121.7824531 37.2417006, -121.7824533 37.241696, -121.7832129 37.2409013, -121.783226 37.2409091, -121.7837125 37.241199, -121.7837645 37.24123, -121.7842116 37.2414964, -121.784055 37.2416589, -121.7837 37.2420273, -121.7836817 37.2420464, -121.7834603 37.2422761)))"
,Equinix SV2,,,data_center,,,,,,polygons,37.3786047,-121.9549478926224,"MULTIPOLYGON (((-121.9552865 37.3790548, -121.9545913 37.3789048, -121.9545999 37.3778749, -121.9552951 37.3778749, -121.9553037 37.3780181, -121.9554325 37.3780113, -121.955441 37.3783046, -121.9553123 37.3783046, -121.9552865 37.3790548)))"
,,,,data_center,,,,,,polygons,37.3780464,-121.954127675,"MULTIPOLYGON (((-121.9544151 37.378254, -121.9540031 37.3782539, -121.9540031 37.3782987, -121.9539348 37.3782987, -121.9539348 37.3782566, -121.9538941 37.3782566, -121.9538811 37.3782566, -121.953881 37.3780778, -121.9538403 37.3780778, -121.9538402 37.378015, -121.9538845 37.378015, -121.9538844 37.3778393, -121.9542571 37.3778393, -121.9542571 37.3777762, -121.9544151 37.3777762, -121.9544151 37.378254)))"
,2820 Northwestern Parkway,,,data_center,,,,,,polygons,37.372569299999995,-121.97365893917444,"MULTIPOLYGON (((-121.9741996 37.3728786, -121.9737195 37.3728781, -121.9737193 37.3730163, -121.9731546 37.3730158, -121.9731545 37.3730353, -121.9730933 37.3730352, -121.9730936 37.3728772, -121.9731173 37.3728773, -121.973119 37.3717801, -121.9740344 37.371781, -121.9740343 37.3718545, -121.9740984 37.3718546, -121.9740978 37.3722613, -121.9742006 37.3722614, -121.9741996 37.3728786)))"
,,,,data_center,,,,,,polygons,37.37145735,-121.96968428399869,"MULTIPOLYGON (((-121.9700015 37.3710209, -121.9700037 37.3711466, -121.9703086 37.3711487, -121.9703116 37.3715923, -121.9703132 37.3718297, -121.9696969 37.3718308, -121.9696972 37.3719206, -121.9691735 37.3719217, -121.9691732 37.3718318, -121.9691552 37.3718318, -121.969052 37.3718318, -121.96906 37.3713224, -121.9690922 37.3713021, -121.9691392 37.3713117, -121.9691955 37.3713117, -121.9692491 37.3712968, -121.9692934 37.3712776, -121.9693283 37.371251, -121.9693564 37.3712169, -121.9693685 37.3711796, -121.9693765 37.3711423, -121.9699285 37.3711461, -121.9699264 37.371022, -121.9700015 37.3710209)))"
,,,,data_center,,,,,,polygons,37.373562449999994,-121.97277134982627,"MULTIPOLYGON (((-121.9733204 37.3738239, -121.972226 37.3738287, -121.9722223 37.373301, -121.9733167 37.3732963, -121.9733204 37.3738239)))"
,Paypal,,,yes,,,,,,polygons,40.5861023,-111.96973252502387,"MULTIPOLYGON (((-111.9708127 40.5855493, -111.9708196 40.5866475, -111.9686523 40.5866554, -111.9686455 40.5855571, -111.9708127 40.5855493)))"
,,,,data_center,,,,,,polygons,38.79048435,-77.54111083173377,"MULTIPOLYGON (((-77.5414689 38.7913122, -77.5407501 38.7913122, -77.5407608 38.7896565, -77.5414635 38.7896482, -77.5414689 38.7913122)))"
,,,,data_center,,,,,,polygons,38.790348449999996,-77.5400060399839,"MULTIPOLYGON (((-77.5402458 38.7907394, -77.539865 38.7907603, -77.5397738 38.7899575, -77.5401386 38.7899324, -77.5402458 38.7907394)))"
