HUC8,WSF_1MW_DC,WF_1MW_DC,CF_1MW_DC,WF_norm,CF_norm,WSF_norm,Risk_score_equal_weights
15030106,198.73320067610672,105.97294285314153,0.1948445270439935,1.0,0.194786589334616,0.6516639660190824,0.6154835184512327
15080103,198.73320067610672,105.97294285314153,0.1948445270439935,1.0,0.194786589334616,0.6516639660190824,0.6154835184512327
15080102,243.15889038352609,52.63442462082763,0.5296672607677665,0.48798107482181613,0.5295097623340835,0.7976065633128351,0.6050324668229116
15070203,243.15889038352609,52.63442462082763,0.5296672607677665,0.48798107482181613,0.5295097623340835,0.7976065633128351,0.6050324668229116
15050306,243.15889038352609,52.63442462082763,0.5296672607677665,0.48798107482181613,0.5295097623340835,0.7976065633128351,0.6050324668229116
15050303,243.15889038352609,52.63442462082763,0.5296672607677665,0.48798107482181613,0.5295097623340835,0.7976065633128351,0.6050324668229116
15030108,243.15889038352609,52.63442462082763,0.5296672607677665,0.48798107482181613,0.5295097623340835,0.7976065633128351,0.6050324668229116
15030105,243.15889038352609,52.63442462082763,0.5296672607677665,0.48798107482181613,0.5295097623340835,0.7976065633128351,0.6050324668229116
15020018,256.90396151189753,25.77879600669572,0.703889422925586,0.23018257284427474,0.7036801189156758,0.8427604234706187,0.5922077050768565
15020017,256.90396151189753,25.77879600669572,0.703889422925586,0.23018257284427474,0.7036801189156758,0.8427604234706187,0.5922077050768565
15020014,256.90396151189753,25.77879600669572,0.703889422925586,0.23018257284427474,0.7036801189156758,0.8427604234706187,0.5922077050768565
15020012,256.90396151189753,25.77879600669572,0.703889422925586,0.23018257284427474,0.7036801189156758,0.8427604234706187,0.5922077050768565
14060009,272.6329422981269,4.094840411263438,0.841531724171256,0.022029140661780133,0.841281491736162,0.8944316147080276,0.5859140823686565
14070002,272.6329422981269,4.094840411263438,0.841531724171256,0.022029140661780133,0.841281491736162,0.8944316147080276,0.5859140823686565
15020009,247.7039030018768,25.77879600669572,0.703889422925586,0.23018257284427474,0.7036801189156758,0.8125373601248473,0.582133350628266
18100204,248.0330385639367,79.12256622395904,0.1741321523116518,0.7422519140403379,0.17408037350017083,0.8136186016115888,0.5766502963840324
10050007,184.0632977954299,34.896061980814984,0.8082771730854246,0.31770305296522505,0.8080368290087336,0.6034719459839826,0.576403942652647
14080106,229.9604253681261,17.56276429548498,0.8148238673905122,0.15131342039272744,0.8145815766311106,0.754248355993512,0.57338111767245
15080101,210.51530357600822,52.63442462082763,0.5296672607677665,0.48798107482181613,0.5295097623340835,0.6903692896756943,0.5692867089438647
10080011,227.07411394809898,8.66522667142474,0.8946501793867511,0.06590220534619087,0.8943841519910926,0.7447665496780318,0.5683509690051051
14080203,234.75837706051232,3.97885570231143,0.9100814816869359,0.02091575453890254,0.9098108657389503,0.7700100816141694,0.5669122339640075
14040105,234.75837706051232,3.97885570231143,0.9100814816869359,0.02091575453890254,0.9098108657389503,0.7700100816141694,0.5669122339640075
15070104,304.76851076724597,22.643920691791767,0.4562522217531616,0.20008958296567098,0.4561165535410347,1.0,0.5520687121689019
15070202,304.76129942627165,22.64458705493853,0.45624781950112125,0.2000959796664698,0.45611215259801957,0.9999763100620678,0.5520614807755191
15050305,192.57415538558482,52.63442462082763,0.5296672607677665,0.48798107482181613,0.5295097623340835,0.6314309190485475,0.5496405854014824
10190013,184.912974282499,3.8262122462735015,1.0002974419829178,0.01945046564663117,1.0,0.6062632136986532,0.5419045597817614
11020008,184.912974282499,3.8262122462735015,1.0002974419829178,0.01945046564663117,1.0,0.6062632136986532,0.5419045597817614
10190008,184.912974282499,3.8262122462735015,1.0002974419829178,0.01945046564663117,1.0,0.6062632136986532,0.5419045597817614
