id,name,state,county,facility_area_sqft,lat,lon,source_layer,source_file
09808044830,505 Marquette,NM,Bernalillo County,,35.088628899999954,-106.65264560000001,im3_us_data_center_locations,im3_us_data_center_locations.gpkg::point
09808044840,123 Central,NM,Bernalillo County,,35.08444940000002,-106.6489853,im3_us_data_center_locations,im3_us_data_center_locations.gpkg::point
09861806598,,MO,Jackson County,,39.101181600000075,-94.57882090000001,im3_us_data_center_locations,im3_us_data_center_locations.gpkg::point
09922928085,Netrality Data Centers,MO,Jackson County,,39.10090709999998,-94.5811452,im3_us_data_center_locations,im3_us_data_center_locations.gpkg::point
10014176940,Microsoft,PR,Guaynabo Municipio,,18.41743590000001,-66.10898950000002,im3_us_data_center_locations,im3_us_data_center_locations.gpkg::point
10537283366,Netrality,IL,Cook County,,41.872881100000015,-87.63344,im3_us_data_center_locations,im3_us_data_center_locations.gpkg::point
10567817971,Brandaleone Lab for Data and Visualization,NC,Durham County,,36.00309929999997,-78.9385323,im3_us_data_center_locations,im3_us_data_center_locations.gpkg::point
10648552506,Frontier (supercomputer),TN,Roane County,,35.92951329999998,-84.310567,im3_us_data_center_locations,im3_us_data_center_locations.gpkg::point
10780794741,,CA,San Francisco County,,37.7796531,-122.3940005,im3_us_data_center_locations,im3_us_data_center_locations.gpkg::point
10796113031,VaultLogix,AZ,Maricopa County,,33.62736699999998,-111.9017033,im3_us_data_center_locations,im3_us_data_center_locations.gpkg::point
10796113033,Profit Finder Pro Software,AZ,Maricopa County,,33.627247700000005,-111.9020476,im3_us_data_center_locations,im3_us_data_center_locations.gpkg::point
10798644674,DataPro USA Web Development,AZ,Maricopa County,,33.61166239999997,-111.9139825,im3_us_data_center_locations,im3_us_data_center_locations.gpkg::point
10880725408,e360,CA,Contra Costa County,,37.971080899999976,-122.0437382,im3_us_data_center_locations,im3_us_data_center_locations.gpkg::point
10910879064,Digital Realty ORD10,IL,Cook County,,41.853350700000014,-87.6183067,im3_us_data_center_locations,im3_us_data_center_locations.gpkg::point
10910879065,Centersquare Chicago Data Center - ORD1,IL,Cook County,,41.85338270000003,-87.6186071,im3_us_data_center_locations,im3_us_data_center_locations.gpkg::point
